"x"	"y"	"mncanht2023"	"sdcanht2023"
350	270	26.9099567917158	7.05046532580002
370	290	24.1505630432553	8.98110334477197
390	310	27.1454726710694	8.67605530146028
410	330	37.4186506208857	2.84521973589569
430	350	26.7770206387017	10.0507420141416
450	370	19.9949927768499	9.02632571276855
470	390	22.5313357545461	8.79409290550052
490	410	17.7522540565044	10.5408120582238
510	430	22.7180425520805	11.8968948568
530	450	26.7233399816398	12.9572295260524
550	470	31.2985921880576	10.0717434725761
570	490	29.1579902126157	7.48936918635877
590	510	22.5570263132438	7.56009049054514
610	-10	23.1545968367303	5.94000177500001
630	10	26.9241024089309	8.68201906760471
650	30	34.1492799503209	4.05895745864794
670	50	32.5616910068849	10.668782673812
690	70	21.9797293912098	9.86007154851201
710	90	22.9378849548522	8.43576602330563
730	110	16.5955780453573	6.18091841403927
750	130	9.36032332843678	4.55762503574268
770	150	9.02802227364988	5.9917857491508
790	170	12.1551157901162	5.32763614052636
810	190	18.0563087304275	8.65793676660751
830	210	20.174957784522	8.40890981979825
850	230	28.597516172195	10.5130163351403
870	250	27.8955959664793	8.37007178016021
890	270	24.1997790097006	7.3939286871043
910	290	16.7110138060675	8.1415832277665
930	310	17.2640087101168	7.22138790266204
950	330	16.7221135015402	6.21862551746796
970	350	27.4688563486078	3.70728394128501
990	370	14.3223864096042	9.76688555353762
1010	390	13.8959212484047	8.45919493700765
-10	410	24.3672430068314	7.24527335283629
10	430	19.7935850558238	9.31130563988578
30	450	25.1112391058004	10.1335346738223
50	470	21.0697320659679	10.3314704128405
70	490	25.6235889014326	8.58949897459282
90	510	31.9180516671992	7.84838194767225
110	-10	15.8261691990296	5.55073544737413
130	10	22.0905328153972	6.94399377600948
150	30	23.6922751039355	6.66638224420888
170	50	19.9457294589121	7.67869672460041
190	70	20.728515023437	8.09398199870172
210	90	22.5847225397559	7.51395762659454
230	110	26.7488369787343	6.71724855193605
250	130	19.8785472032685	8.28283302346834
270	150	22.4266616003042	11.438061612853
290	170	33.34084006104	6.66070170943835
310	190	22.0795263917349	8.84245553176537
330	210	16.1711618432932	9.04051776246217
350	230	14.5473646813613	3.66882306480067
370	250	21.8950634256494	8.02492741210959
390	270	30.3775079433589	8.75139379012696
410	290	33.4922015859685	4.46970955773843
430	310	26.9197508265506	12.4977970517436
450	330	21.494720774161	9.83734526818955
470	350	22.3774013848859	9.89216824977927
490	370	21.6055654031399	8.79286743719071
510	390	34.9192416360622	6.32892049118669
530	410	24.9748821285062	13.8830512542174
550	430	26.7776630738759	12.8114378813649
570	450	34.706198018594	8.43434757698653
590	470	27.5092195224857	9.58093737350476
610	490	32.1054000521132	3.87666400167281
630	510	29.1673059791179	11.2955686817029
650	-10	29.621343210745	5.70742099425803
670	10	26.6115234753818	10.1554917800778
690	30	33.2270610169124	10.2385694913429
710	50	26.9079586449541	8.31256015643087
730	70	19.1393621465537	5.63002442756359
750	90	25.2197716948766	12.4691811312913
770	110	23.0317369417495	12.7315248678858
790	130	16.1342130431826	4.8450801947058
810	150	24.0472206714255	10.0715919557992
830	170	33.5005591884033	9.52039489676351
850	190	20.6106305528658	10.3318612070676
870	210	21.595390134961	9.55396569804293
890	230	24.0035533817901	5.69819941847696
910	250	20.1816796326472	7.60574101462918
930	270	19.3286053328907	6.54586813370361
950	290	15.7094741775831	5.81418501606685
970	310	19.0792027372116	4.96182566689108
990	330	21.4975465511258	4.45654651137225
